nombre,tipo,puntuacion,barrio,lat,long
Marrakech Lounge Shisha Bar,Ocio,3.5,Casa de Campo,40.424637,-3.7156577
Cineteca Madrid,Ocio,4.5,Legazpi,40.391163,-3.694768
Popland,Ocio,5.0,Universidad,40.428867,-3.7050154
Begin the Beguine,Ocio,5.0,Embajadores,40.412502,-3.6964521
Real Casa de la Aduana,Ocio,3.5,Jerónimos,40.420734,-3.6848302
Aladdin,Ocio,"Esta actividad todavía no tiene puntuación, ¡se el primero!",Barrio no encontrado,40.470833,-3.8713443
Glorieta de San Antonio,Ocio,4.0,Valdefuentes,40.48277,-3.626166
LOLA & LO,Ocio,5.0,Barrio no encontrado,40.593895,-4.1466446
Turrones Vicens,Ocio,4.5,Palacio,40.41597,-3.708335
Monumento Don Quijote De La Mancha,Ocio,4.5,Palacio,40.42199,-3.7131968
